old_name,new_name,tooltip,page_index,rect_llx,rect_lly,rect_urx,rect_ury
f2_15[0],line17n_lookback_interest_167g_or_460b,line17n_lookback_interest_167g_or_460b,1,410.4,402.001,481.65,414
f2_16[0],line17o_tax_noneffectively_connected_income_1040nr,line17o_tax_noneffectively_connected_income_1040nr,1,410.4,372.002,481.65,384.001
f2_17[0],line17p_interest_form8621_line16f,line17p_interest_form8621_line16f,1,410.4,342,481.65,353.999
f2_18[0],line17q_interest_form8621_line24,line17q_interest_form8621_line24,1,410.4,324,481.65,335.999
f2_19[0],line17z_other_taxes_description,line17z_other_taxes_description,1,64.8,281.999,381.6,306
f2_20[0],line17z_other_taxes_amount,line17z_other_taxes_amount,1,410.4,282.002,481.65,294.001
f2_21[0],line18_total_additional_taxes,line18_total_additional_taxes,1,504,264.002,576,276.001
f2_22[0],line19_recapture_net_epe_form4255_line1d_col_l,line19_recapture_net_epe_form4255_line1d_col_l,1,504,246.002,576,258.001
f2_23[0],line20_section965_installment_form965a,line20_section965_installment_form965a,1,410.4,228.002,481.65,240.001
f2_24[0],line21_total_other_taxes,line21_total_other_taxes,1,504,198,576,209.999
